Date,Close,Volume
2/27/2018,55.5882,8821414
2/28/2018,56.109,11541059
3/1/2018,55.1951,11127627
3/2/2018,55.9419,11555132
3/5/2018,56.0009,7835398
3/6/2018,56.0402,8046794
3/7/2018,56.0402,7044099
3/8/2018,56.4726,7434706
3/9/2018,57.4454,9539617
3/12/2018,58.3691,10550283
3/13/2018,58.0252,10411354
3/14/2018,57.809,6488531
3/15/2018,58.3396,7377036
3/16/2018,57.976,13030896
3/19/2018,57.2882,9350572
3/20/2018,57.6419,5888445
3/21/2018,57.4552,6569109
3/22/2018,56.7674,6846463
3/23/2018,55.3327,9476776
3/26/2018,56.7969,8444852
3/27/2018,56.4628,7562939
3/28/2018,56.8951,9301897
3/29/2018,56.8853,12015218
4/2/2018,55.2639,16778277
4/3/2018,56.9934,10908217
4/4/2018,57.809,7893065
4/5/2018,58.1136,6305050
4/6/2018,57.3275,8264473
4/9/2018,57.6812,8023776
4/10/2018,58.3789,6671853
4/11/2018,58.3887,5508027
4/12/2018,58.3986,6088247
4/13/2018,58.2119,6689776
4/16/2018,58.3986,6119171
4/17/2018,58.7916,6139581
4/18/2018,58.4673,5914193
4/19/2018,58.1922,6280126
4/20/2018,56.9934,12037567
4/23/2018,57.1506,8444396
4/24/2018,56.8067,7793565
4/25/2018,56.7084,8367357
4/26/2018,58.3494,14516626
4/27/2018,57.3471,11975153
4/30/2018,56.5708,7854596
5/1/2018,57.1211,7257462
5/2/2018,55.7159,7299089
5/3/2018,55.1558,7152390
5/4/2018,56.6789,9279180
5/7/2018,56.4529,10630594
5/8/2018,56.6691,7234031
5/9/2018,56.3431,7015334
5/10/2018,56.9457,6565825
5/11/2018,56.5703,5843427
5/14/2018,56.432,5871783
5/15/2018,55.948,7415770
5/16/2018,56.4518,4843941
5/17/2018,56.5012,6110124
5/18/2018,56.4617,7786028
5/21/2018,56.6395,5379291
5/22/2018,56.2641,5355604
5/23/2018,56.7876,5339882
5/24/2018,56.9753,5681592
5/25/2018,57.2124,6783776
5/29/2018,56.5308,6475865
5/30/2018,56.7778,5762434
5/31/2018,55.9777,9433042
6/1/2018,56.2147,4967653
6/4/2018,56.3728,7484072
6/5/2018,54.9998,18278843
6/6/2018,56.4716,13709779
6/7/2018,56.4419,7919801
6/8/2018,55.9085,8433528
6/11/2018,55.79,7181724
6/12/2018,55.79,8249711
6/13/2018,55.5233,8283213
